Marka,Model,Year,Price,Brand ID,Model ID
Audi,A8,2000,3500000,6,117
Mitsubishi,Pajero IO,1998,2200000,14,156
Hyundai,Accent,2014,5700000,13,50
Toyota,Land Cruiser,2008,19600000,0,43
Hyundai,Sonata,2022,15000000,13,20
Nissan,Tiida,2008,4700000,17,157
Subaru,Forester,2022,15300000,19,118
BMW,X4,2016,18800000,11,103
Toyota,Camry,2021,22300000,0,38
Mitsubishi,Outlander,2023,23000000,14,77
Tesla,Model Y,2022,22000000,38,158
Mercedes-Benz,GLE Coupe 400,2016,26900000,12,159
Toyota,Estima,2008,7450000,0,2
Toyota,Land Cruiser,2001,4500000,0,43
Kia,Sorento,2022,21490000,2,64
Jaguar,XJ,2006,20000000,39,160
Volkswagen,Jetta,2004,2600000,23,161
Toyota,Sienna,2012,13100000,0,162
Mercedes-Benz,E 250,2015,13500000,12,163
Lexus,RX 300,2019,30000000,20,98
Mercedes-Benz,E 350,2014,14500000,12,83
Hyundai,Sonata,2021,15300000,13,20
Lexus,RX 300,2022,34300000,20,98
VAZ,2114,2013,2450000,16,27
Volkswagen,Phaeton,2003,4250000,23,164
Toyota,Highlander,2022,26500000,0,19
Volkswagen,Caddy,2008,4000000,23,165
Mercedes-Benz,S 400,2015,28500000,12,166
BMW,550,2020,41500000,11,167
Lexus,RX 330,2003,8400000,20,168
Toyota,4Runner,2021,25500000,0,82
Toyota,Camry,2003,4900000,0,38
VAZ,2114,2012,1550000,16,27
Mercedes-Benz,ML 63 AMG,2007,11000000,12,169
Lexus,GX 470,2005,11800000,20,124
BMW,X5,2019,52000000,11,30
Land Rover,Range Rover,2003,4000000,4,6
Mitsubishi,Outlander,2022,13500000,14,77
Toyota,Carina E,1992,2150000,0,18
Subaru,Forester,1997,3300000,19,118
BMW,X6 M,2009,22500000,11,170
Kia,Sorento,2022,18500000,2,64
Kia,K3,2022,12900000,2,171
Skoda,Superb,2012,6000000,40,172
Hyundai,Creta,2021,10700000,13,143
Lexus,RX 350,2023,46500000,20,66
BMW,X7,2020,53500000,11,147
Toyota,Camry,2020,19600000,0,38
GAZ,GAZel',2010,6500000,32,95
Hyundai,Elantra,2022,12800000,13,17
Suzuki,Baleno,2023,11000000,21,173
Lexus,GS 350,2009,13000000,20,55
Mitsubishi,Challenger,1996,3000000,14,8
Honda,CR-V,1997,3500000,15,174
Toyota,Land Cruiser,2021,63000000,0,43
Hyundai,Elantra,2020,12000000,13,17
Mitsubishi,Galant,1996,700000,14,155
Toyota,Land Cruiser,2001,6900000,0,43
Zeekr,001,2023,27900000,3,5
Volkswagen,ID.4,2023,14000000,23,75
EXEED,LX Luxury,2023,12990000,41,175
EXEED,TXL Flagship,2022,20420000,41,176
EXEED,VX Premium,2022,22840000,41,177
EXEED,LX,2023,15600000,41,178
EXEED,TXL Premium,2022,19020000,41,179
EXEED,TXL Flagship,2022,20420000,41,176
Lexus,ES 250,2022,27500000,20,94
Suzuki,Grand Vitara,2000,3000000,21,180
Subaru,Legacy,1998,2650000,19,62
Land Rover,Range Rover,2002,5300000,4,6
UAZ,Patriot,2015,6100000,1,181
Hyundai,Santa Fe,2021,18900000,13,67
Subaru,Impreza,1994,2000000,19,97
Nissan,Qashqai,2019,9900000,17,182
Mitsubishi,Pajero,1995,6000000,14,102
Toyota,Camry,2012,12000000,0,38
Mitsubishi,Pajero,1993,2280000,14,102
Mercedes-Benz,E 220,1993,1800000,12,16
Mercedes-Benz,E 280,1997,2850000,12,140
Volkswagen,Touareg,2006,6400000,23,154
Kia,K5,2020,13000000,2,4
Kia,Sorento,2021,15500000,2,64
Zeekr,009,2023,39990000,3,183
HiPhi,X,2023,49900000,42,74
Avatr,11,2023,29900000,43,184
BMW,i7,2022,107000000,11,185
IM,LS7,2023,33750000,44,186
Volkswagen,ID.4 Crozz Prime,2023,19300000,23,187
HiPhi,Z,2023,48700000,42,188
Voyah,Free,2023,24990000,35,112
Zeekr,001,2023,26900000,3,5
Volkswagen,ID.6,2022,23000000,23,142
Lotus,Eletre,2023,69000000,34,111
Li,L7,2023,29350000,45,189
VAZ,2114,2008,550000,16,27
BYD,Han,2022,21500000,26,61
Voyah,Dream,2023,31500000,35,190
Zeekr,001 WE 4WD,2023,20800000,3,191
Li,L9,2023,33950000,45,192
Mercedes-Benz,EQC 400 4MATIC,2022,30500000,12,193
Zeekr,001,2023,27500000,3,5
Zeekr,001 YOU,2023,27500000,3,194
Hongqi,E-HS9,2023,49800000,36,120
Tesla,Model Y Performance,2022,29500000,38,195
BYD,Qin,2023,11900000,26,196
Zeekr,001,2023,27500000,3,5
BYD,Seal,2023,19990000,26,197
Tesla,Model Y,2023,25000000,38,158
Zeekr,001,2023,27500000,3,5
Toyota,Hilux,2022,20200000,0,138
Bentley,Flying Spur,2014,55000000,46,198
Nissan,Patrol,2002,6900000,17,29
Toyota,Land Cruiser,2008,22500000,0,43
Mercedes-Benz,G 63 AMG,2021,99000000,12,199
Toyota,Corolla,2016,7700000,0,65
Audi,A3,2014,8000000,6,200
Mercedes-Benz,S 55,2004,9000000,12,201
Kia,K3,2022,12500000,2,171
Lexus,LX 570,2008,19500000,20,36
VAZ,2110,2004,500000,16,202
Kia,Soul,2013,6000000,2,91
Toyota,Land Cruiser Prado,2022,35000000,0,21
Nissan,Maxima,1997,1100000,17,76
Toyota,Land Cruiser Prado,1997,8500000,0,21
Hyundai,Accent,2021,10050000,13,50
Mercedes-Benz,E 320,1998,6700000,12,23
Toyota,Corolla,2022,14000000,0,65
Kia,Cee’d,2022,12290000,2,136
Lexus,NX 300,2019,24000000,20,203
Kia,K8,2021,21000000,2,100
Toyota,Camry,2016,12499900,0,38
Hyundai,Sonata,2021,14500000,13,20
Zeekr,X,2023,20800000,3,74
Zeekr,X,2023,18800000,3,74
Volkswagen,Touareg,2007,7100000,23,154
Toyota,Land Cruiser Prado,2015,18700000,0,21
Hyundai,Palisade,2021,31000000,13,144
Toyota,Land Cruiser Prado,2012,16500000,0,21
Mazda,626,1991,870000,18,204
Mitsubishi,Space Runner,1995,1700000,14,205
Volkswagen,Golf,1993,2100000,23,85
ZAZ,Chance,2013,1800000,47,206
BMW,525,1994,1400000,11,49
Skoda,Superb,2020,19300000,40,172
Lexus,RX 350,2017,28000000,20,66
Toyota,Land Cruiser,2005,12200000,0,43
Hyundai,Grandeur,2020,13500000,13,108
Toyota,Land Cruiser,2022,63000000,0,43
Volkswagen,Transporter,2006,6500000,23,46
Hyundai,Staria,2022,27900000,13,90
Toyota,Camry,2015,12800000,0,38
Lexus,ES 250,2019,21000000,20,94
Kia,Cee’d,2022,12290000,2,136
GAZ,GAZel',2010,6000000,32,95
Mitsubishi,L200,2020,17000000,14,207
Toyota,Land Cruiser Prado,2021,33500000,0,21
Toyota,Highlander,2005,9000000,0,19
Hyundai,Accent,2013,4800000,13,50
Infiniti,FX37,2012,11200000,28,208
Nissan,Xterra,2006,7500000,17,209
Infiniti,G35,2004,8500000,28,210
Toyota,Ipsum,2005,5350000,0,211
Mercedes-Benz,GLE Coupe 53 AMG,2021,73500000,12,212
Hyundai,Grandeur,2022,25975000,13,108
Foton,Alpha,2023,15000000,48,213
Mercedes-Benz,Sprinter,2017,12500000,12,145
Toyota,Ipsum,1996,3650000,0,211
Hyundai,Tucson,2023,16500000,13,107
Hyundai,Elantra,2020,9400000,13,17
Chevrolet,Cobalt,2023,6550000,22,214
Mitsubishi,Montero Sport,2000,4900000,14,24
Nissan,Tiida,2015,6500000,17,157
BMW,X5,2021,46500000,11,30
Toyota,Land Cruiser Prado,2023,40000000,0,21
Suzuki,Baleno,2023,9300000,21,173
Hyundai,Sonata,2021,12700000,13,20
Audi,Q7,2014,13500000,6,131
BMW,X5,2015,18500000,11,30
Toyota,Avalon,2022,31000000,0,215
Mercedes-Benz,E 280,1998,4100000,12,140
Toyota,RAV 4,2017,14500000,0,93
Toyota,Camry,2013,10000000,0,38
Toyota,Highlander,2021,25800000,0,19
Nissan,Primera,2002,2750000,17,216
BMW,X7,2021,49000000,11,147
Land Rover,Range Rover Sport,2006,7000000,4,7
BMW,535,2013,12500000,11,217
Chevrolet,Cobalt,2020,6000000,22,214
Li,L7,2023,31500000,45,189
Infiniti,QX80,2018,35500000,28,78
Mercedes-Benz,E 320,2002,5400000,12,23
Nissan,Maxima,1997,3300000,17,76
Hyundai,Avante,2021,11500000,13,150
Hyundai,Sonata,2022,15000000,13,20
Hyundai,Elantra,2023,11700000,13,17
Toyota,Land Cruiser Prado,2018,22200000,0,21
Audi,80,1993,1500000,6,218
Hyundai,Avante,2021,13000000,13,150
Mazda,Cronos,1996,1500000,18,32
Nissan,Terrano,2017,7900000,17,28
Volkswagen,ID.6,2022,20000000,23,142
Lexus,ES 350,2020,28000000,20,219
Porsche,Panamera,2017,48000000,8,40
Hyundai,Elantra,2019,7500000,13,17
BMW,735,2002,3666666,11,220
Toyota,Camry,2022,20500000,0,38
Hyundai,Elantra,2017,8400000,13,17
Kia,Rio X-Line,2022,11100000,2,221
Tesla,Model 3,2021,21950000,38,222
Kia,Cerato,2019,10100000,2,223
Lexus,LX 570,2019,55000000,20,36
Toyota,Chaser,1996,2880000,0,224
Hyundai,Creta,2020,11400000,13,143
Toyota,Camry,2010,6900000,0,38
Toyota,Land Cruiser Prado,2017,19300000,0,21
Nissan,Maxima,2010,3700000,17,76
Land Rover,Range Rover Velar,2021,39500000,4,225
Opel,Zafira,2001,2900000,27,226
Toyota,Camry,2020,18200000,0,38
Lexus,LX 570,2018,51700000,20,36
Volkswagen,Polo,2020,8990000,23,152
Hyundai,Tucson,2010,8000000,13,107
Kia,Cee’d,2022,11560000,2,136
Kia,Rio,2014,5750000,2,151
Toyota,Camry,2015,11640000,0,38
Hyundai,Creta,2020,10405825,13,143
Hyundai,Tucson,2022,19320000,13,107
Mercedes-Benz,Sprinter,2007,20000000,12,145
BMW,540,2002,6700000,11,56
VAZ,2106,1976,1200000,16,227
Hyundai,Santa Fe,2014,11200000,13,67
Volkswagen,Passat,1993,1700000,23,101
Nissan,Maxima,1994,800000,17,76
Hyundai,Accent,2013,4300000,13,50
BMW,525,2002,5200000,11,49
Nissan,X-Trail,2014,9600000,17,58
Toyota,Camry,2015,12000000,0,38
Mitsubishi,Lancer,1990,1200000,14,228
VAZ,2114,2013,1450000,16,27
Mercedes-Benz,Sprinter,1995,2600000,12,145
SsangYong,Nomad,2015,2000000,33,229
Toyota,Camry,2014,10500000,0,38
Kia,K5,2021,13500000,2,4
Subaru,Forester,2001,3200000,19,118
Mercedes-Benz,E 200,2020,26000000,12,71
Toyota,4Runner,2023,43500000,0,82
Toyota,Carina E,1994,2400000,0,18
Mitsubishi,Pajero,2005,6500000,14,102
Lexus,LX 600,2023,89500000,20,230
Toyota,Camry,2020,15700000,0,38
Toyota,Camry,2011,9925000,0,38
Lexus,RX 350,2021,23500000,20,66
Lexus,GX 470,2005,12800000,20,124
BMW,X5,2008,9000000,11,30
Kia,K5,2014,7400000,2,4
Daewoo,Nexia,2011,1700000,37,133
Lexus,RX 300,2001,6800000,20,98
Genesis,GV70,2021,27000000,31,231
Mercedes-Benz,C 220,1995,2250000,12,232
Mitsubishi,RVR,1994,1500000,14,233
Kia,K5,2021,15200000,2,4
Daewoo,Nexia,2014,2500000,37,133
Mercedes-Benz,E 240,2002,3500000,12,234
Lexus,RX 300,2022,37000000,20,98
Toyota,Land Cruiser Prado,2023,43900000,0,21
Hyundai,Palisade,2022,28500000,13,144
Lexus,NX 300,2019,27000000,20,203
Mitsubishi,Chariot,1994,1500000,14,235
Toyota,Land Cruiser,2005,25000000,0,43
Toyota,Land Cruiser Prado,2008,15500000,0,21
Toyota,Aristo,1993,2000000,0,236
Kia,K5,2015,7300000,2,4
BMW,540,2017,20000000,11,56
Lexus,GS 350,2008,9200000,20,55
Toyota,RAV 4,2022,21800000,0,93
Toyota,Camry,2016,13000000,0,38
Toyota,Avalon,1998,2000000,0,215
Toyota,Camry,2019,20000000,0,38
Toyota,Alphard,2006,5500000,0,1
Lexus,RX 350,2023,45500000,20,66
Toyota,Camry,2019,17300000,0,38
Toyota,Camry,2009,7500000,0,38
Toyota,Highlander,2018,19000000,0,19
BMW,530,2006,4700000,11,92
Hyundai,Elantra,2015,7500000,13,17
GAZ,GAZel',2020,12500000,32,95
Mazda,6,2002,3200000,18,237
Toyota,Hilux Surf,1993,2300000,0,238
Mercedes-Benz,S 500,2014,26000000,12,37
Kia,Optima,2019,9500000,2,239
Subaru,Forester,2022,17000000,19,118
Nissan,X-Trail,2014,9300000,17,58
Mercedes-Benz,S 320,1996,4000000,12,240
Kia,Rio,2021,9650000,2,151
Porsche,Taycan,2020,75000000,8,241
Daewoo,Damas,2007,1500000,37,242
Volkswagen,Polo,2011,4600000,23,152
Kia,Picanto,2013,4650000,2,243
Mercedes-Benz,S 500,1998,4790000,12,37
Nissan,Qashqai,2013,7500000,17,182
Hyundai,Palisade,2021,22900000,13,144
Ford,Mondeo,2008,4900000,24,244
Mercedes-Benz,E 240,1999,5000000,12,234
Renault,Duster,2015,6100000,49,245
Honda,CR-V,2011,9400000,15,174
Mercedes-Benz,E 500,2003,6200000,12,246
Toyota,Camry,2006,7000000,0,38
Subaru,Forester,1997,3200000,19,118
Nissan,Rogue,2021,15000000,17,247
Land Rover,Freelander,2014,11000000,4,248
Hyundai,Grandeur,2023,23000000,13,108
Changan,UNI-K,2023,18450000,30,249
Hyundai,Palisade,2021,25999999,13,144
Hyundai,Accent,2020,9010000,13,50
Toyota,Land Cruiser Prado,2009,19000000,0,21
Toyota,Camry,2009,7800000,0,38
Audi,A6,1994,3200000,6,127
Toyota,RAV 4,2013,10370000,0,93
Toyota,RAV 4,2016,13770000,0,93
Hyundai,Tucson,2019,13546525,13,107
Subaru,Legacy,1997,1800000,19,62
Toyota,RAV 4,2016,13460000,0,93
Toyota,RAV 4,2018,13770000,0,93
Volkswagen,Polo,2021,9930000,23,152
Toyota,Camry,2016,8000000,0,38
Kia,Rio,2014,6150000,2,151
Mitsubishi,Chariot,1999,2700000,14,235
Mercedes-Benz,E 220,1993,1900000,12,16
Mazda,626,1991,950000,18,204
Toyota,RAV 4,2019,15500000,0,93
Toyota,Camry,1995,2950000,0,38
Mercedes-Benz,CLA 200,2019,21000000,12,250
Toyota,Camry,2007,6660000,0,38
GAZ,GAZel',2003,1700000,32,95
Volkswagen,Golf,2014,7500000,23,85
Mitsubishi,Galant,1992,1200000,14,155
Nissan,Rogue,2020,13600000,17,247
BMW,840,2022,57500000,11,251
Daewoo,Nexia,2014,2250000,37,133
Suzuki,Celerio,2023,8200000,21,252
Toyota,Estima,2000,5000000,0,2
Toyota,RAV 4,2021,18500000,0,93
Nissan,Primera,2004,2750000,17,216
Mitsubishi,Space Wagon,1986,2800000,14,253
Mercedes-Benz,S 320,1995,3900000,12,240
Toyota,Camry,2016,13700000,0,38
